<Ticker>,<Per>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
GHESHESFA,d,20050820,000000,71,72,71,72,2273
GHESHESFA,d,20050821,000000,72,72,72,72,45000
GHESHESFA,d,20050822,000000,72,72,71,72,12125
GHESHESFA,d,20050823,000000,72,72,72,72,703
GHESHESFA,d,20050824,000000,71,72,71,72,859
GHESHESFA,d,20050827,000000,71,72,71,72,31528
GHESHESFA,d,20050828,000000,72,72,72,72,10000
GHESHESFA,d,20050829,000000,72,72,72,72,3570
GHESHESFA,d,20050830,000000,72,72,72,72,9151
GHESHESFA,d,20050831,000000,73,73,72,72,31528
GHESHESFA,d,20050905,000000,72,72,72,72,356
GHESHESFA,d,20050906,000000,71,72,71,72,963
GHESHESFA,d,20050911,000000,71,72,71,72,357
GHESHESFA,d,20050917,000000,72,72,72,72,8098
GHESHESFA,d,20050918,000000,72,72,72,72,19749
GHESHESFA,d,20060220,000000,71,75,71,72,726
GHESHESFA,d,20060221,000000,72,73,72,72,2302
GHESHESFA,d,20060222,000000,72,72,72,72,4022
GHESHESFA,d,20060225,000000,72,72,72,72,1875
GHESHESFA,d,20060226,000000,72,72,72,72,8816
GHESHESFA,d,20060227,000000,72,72,72,72,15760
GHESHESFA,d,20060228,000000,72,72,72,72,19286
GHESHESFA,d,20060301,000000,72,72,72,72,4170
GHESHESFA,d,20060304,000000,71,71,71,71,28138
GHESHESFA,d,20060306,000000,71,71,71,71,366
GHESHESFA,d,20060307,000000,70,71,70,71,364
GHESHESFA,d,20060312,000000,70,71,70,71,375
GHESHESFA,d,20060405,000000,70,71,70,71,14954
GHESHESFA,d,20060408,000000,71,72,71,71,20010
GHESHESFA,d,20060409,000000,73,73,73,73,71136
GHESHESFA,d,20060410,000000,73,73,72,73,90480
GHESHESFA,d,20060411,000000,73,74,73,73,20010
GHESHESFA,d,20060415,000000,73,73,73,73,48654
GHESHESFA,d,20060417,000000,73,74,73,73,30855
GHESHESFA,d,20060419,000000,73,73,73,73,344
GHESHESFA,d,20060422,000000,73,73,73,73,13772
GHESHESFA,d,20060423,000000,73,73,72,72,50182
GHESHESFA,d,20060424,000000,72,73,72,73,149653
GHESHESFA,d,20060425,000000,75,75,75,75,100215
GHESHESFA,d,20060426,000000,76,76,76,76,100300
GHESHESFA,d,20060429,000000,78,78,77,78,144007
GHESHESFA,d,20060430,000000,79,79,78,78,38753
GHESHESFA,d,20060501,000000,78,78,78,78,73010
GHESHESFA,d,20060502,000000,78,78,78,78,24918
GHESHESFA,d,20060503,000000,80,80,78,78,3853
GHESHESFA,d,20060506,000000,80,80,78,78,2476
GHESHESFA,d,20060507,000000,78,78,77,77,110510
GHESHESFA,d,20060508,000000,77,77,75,76,112018
GHESHESFA,d,20060509,000000,74,76,74,76,100010
GHESHESFA,d,20060510,000000,76,76,76,76,167116
GHESHESFA,d,20060513,000000,75,77,75,76,1012788
GHESHESFA,d,20060514,000000,76,76,76,76,2002000
GHESHESFA,d,20060515,000000,76,77,76,76,10294
GHESHESFA,d,20060516,000000,76,77,75,76,2299
GHESHESFA,d,20060517,000000,75,77,75,75,301494
GHESHESFA,d,20060520,000000,76,76,75,75,20009
GHESHESFA,d,20060521,000000,74,75,74,75,20010
GHESHESFA,d,20060522,000000,75,75,75,75,101293
GHESHESFA,d,20060614,000000,81,82,81,81,10296
GHESHESFA,d,20060617,000000,82,83,81,81,3773
GHESHESFA,d,20060618,000000,81,82,79,79,114501
GHESHESFA,d,20060619,000000,80,80,78,79,40574
GHESHESFA,d,20060621,000000,77,77,77,77,70000
GHESHESFA,d,20060624,000000,77,77,77,77,5060
GHESHESFA,d,20060625,000000,77,77,77,77,120123
GHESHESFA,d,20060626,000000,77,78,77,77,276849
GHESHESFA,d,20060627,000000,77,79,77,79,100010
GHESHESFA,d,20060628,000000,79,80,79,80,103010
GHESHESFA,d,20060701,000000,81,81,81,81,87233
GHESHESFA,d,20060702,000000,82,82,82,82,100000
GHESHESFA,d,20060703,000000,84,84,84,84,140500
GHESHESFA,d,20060704,000000,84,84,82,84,451320
GHESHESFA,d,20060705,000000,84,84,82,84,18600
GHESHESFA,d,20060708,000000,82,84,82,84,123641
GHESHESFA,d,20060709,000000,83,84,83,84,141758
GHESHESFA,d,20060711,000000,84,84,82,84,219604
GHESHESFA,d,20060712,000000,84,84,84,84,264918
GHESHESFA,d,20060716,000000,82,84,82,84,17096
GHESHESFA,d,20060718,000000,84,84,83,84,4912
GHESHESFA,d,20060719,000000,82,82,82,82,67061
GHESHESFA,d,20060723,000000,80,80,80,80,74103
GHESHESFA,d,20060724,000000,79,79,79,79,60010
GHESHESFA,d,20060725,000000,77,79,77,79,205144
GHESHESFA,d,20060726,000000,77,77,77,77,60010
GHESHESFA,d,20060729,000000,76,79,76,79,3569479
GHESHESFA,d,20060730,000000,80,80,80,80,67190
GHESHESFA,d,20060731,000000,80,82,80,81,1014888
GHESHESFA,d,20060801,000000,82,82,81,82,525924
GHESHESFA,d,20060802,000000,82,82,82,82,20
GHESHESFA,d,20060805,000000,81,82,81,82,1033407
GHESHESFA,d,20060806,000000,82,82,80,80,1461010
GHESHESFA,d,20060807,000000,81,82,79,82,345093
GHESHESFA,d,20060809,000000,82,82,82,82,2667589
GHESHESFA,d,20060812,000000,82,82,82,82,10010
GHESHESFA,d,20060813,000000,81,81,80,81,360110
GHESHESFA,d,20060814,000000,80,80,80,80,1120000
GHESHESFA,d,20060815,000000,80,80,80,80,171017
GHESHESFA,d,20060821,000000,78,79,78,79,10010
GHESHESFA,d,20060826,000000,78,79,78,79,31010
GHESHESFA,d,20060827,000000,77,77,77,77,71000
GHESHESFA,d,20060828,000000,76,76,76,76,51820
GHESHESFA,d,20060829,000000,76,76,74,76,19010
GHESHESFA,d,20060902,000000,76,76,76,76,360
GHESHESFA,d,20060903,000000,76,76,74,75,23094
GHESHESFA,d,20060904,000000,76,76,75,75,4006
GHESHESFA,d,20060905,000000,75,75,75,75,560
GHESHESFA,d,20060906,000000,75,76,75,75,10584
GHESHESFA,d,20060910,000000,77,77,75,75,2660
GHESHESFA,d,20060916,000000,74,75,74,75,297
GHESHESFA,d,20060919,000000,74,75,74,75,1123
GHESHESFA,d,20060925,000000,74,75,74,75,6175
GHESHESFA,d,20061227,000000,65,65,65,65,600
GHESHESFA,d,20061230,000000,65,65,64,65,3366
GHESHESFA,d,20070102,000000,64,65,64,65,160
GHESHESFA,d,20070103,000000,64,65,64,65,160
GHESHESFA,d,20070106,000000,64,65,64,65,110
GHESHESFA,d,20070206,000000,64,65,64,65,560
GHESHESFA,d,20070207,000000,64,65,64,65,170
GHESHESFA,d,20070210,000000,64,65,64,65,160
GHESHESFA,d,20070212,000000,64,65,64,65,110
GHESHESFA,d,20070213,000000,64,65,64,65,160
GHESHESFA,d,20070214,000000,64,65,64,65,160
GHESHESFA,d,20070217,000000,64,65,64,65,725
GHESHESFA,d,20070218,000000,64,64,64,64,538329
GHESHESFA,d,20070219,000000,62,64,62,64,3094
GHESHESFA,d,20070220,000000,62,64,62,64,160
GHESHESFA,d,20070221,000000,62,64,62,64,160
GHESHESFA,d,20070226,000000,62,64,62,64,160
GHESHESFA,d,20070228,000000,62,64,62,64,160
GHESHESFA,d,20070304,000000,62,64,62,64,210
GHESHESFA,d,20070305,000000,62,64,62,64,160
GHESHESFA,d,20070307,000000,62,64,62,64,110
GHESHESFA,d,20070328,000000,62,62,62,62,532
GHESHESFA,d,20070430,000000,61,62,61,62,160
GHESHESFA,d,20070501,000000,61,62,61,62,160
GHESHESFA,d,20070502,000000,61,62,61,62,170
GHESHESFA,d,20070507,000000,61,62,61,62,160
GHESHESFA,d,20070613,000000,57,57,57,57,440
GHESHESFA,d,20070703,000000,56,57,56,57,10010
GHESHESFA,d,20070704,000000,56,57,56,57,6810
GHESHESFA,d,20080105,000000,25,25,21,24,45610
GHESHESFA,d,20080108,000000,25,25,25,25,70000
GHESHESFA,d,20080109,000000,25,25,25,25,9853
GHESHESFA,d,20080112,000000,25,25,25,25,6059
GHESHESFA,d,20080113,000000,25,25,25,25,12170
GHESHESFA,d,20080114,000000,25,25,25,25,12697
GHESHESFA,d,20080115,000000,25,25,24,25,2856
GHESHESFA,d,20080116,000000,25,25,25,25,7453
GHESHESFA,d,20080120,000000,25,25,24,25,13010
GHESHESFA,d,20080121,000000,25,25,25,25,1000
GHESHESFA,d,20080122,000000,25,25,24,25,12010
GHESHESFA,d,20080123,000000,24,25,24,25,4386
GHESHESFA,d,20080126,000000,25,25,24,25,7394
GHESHESFA,d,20080127,000000,24,25,24,25,5483
GHESHESFA,d,20080128,000000,25,25,25,25,1010
GHESHESFA,d,20080129,000000,24,25,24,25,1010
GHESHESFA,d,20080130,000000,24,24,24,24,26557
GHESHESFA,d,20080202,000000,25,25,24,24,4463
GHESHESFA,d,20080204,000000,25,25,24,24,1010
GHESHESFA,d,20080205,000000,25,25,24,24,120
GHESHESFA,d,20080209,000000,24,24,24,24,1627
GHESHESFA,d,20080210,000000,25,25,24,24,1010
GHESHESFA,d,20080212,000000,25,25,24,24,2845
GHESHESFA,d,20080216,000000,24,24,24,24,1010
GHESHESFA,d,20080217,000000,24,24,24,24,1010
GHESHESFA,d,20080219,000000,24,24,24,24,2110
GHESHESFA,d,20080220,000000,24,24,24,24,3754
GHESHESFA,d,20080223,000000,24,24,24,24,510
GHESHESFA,d,20080224,000000,24,24,24,24,1385
GHESHESFA,d,20080227,000000,24,24,24,24,20
GHESHESFA,d,20080302,000000,24,24,24,24,102280
GHESHESFA,d,20080311,000000,24,24,24,24,8210
GHESHESFA,d,20080317,000000,24,24,24,24,348
GHESHESFA,d,20080405,000000,24,24,24,24,1157
GHESHESFA,d,20080413,000000,24,24,24,24,89
GHESHESFA,d,20080510,000000,23,24,23,24,110
GHESHESFA,d,20080512,000000,23,24,23,24,3155
GHESHESFA,d,20080531,000000,19,19,18,19,75710
GHESHESFA,d,20080601,000000,19,19,19,19,157902
GHESHESFA,d,20080602,000000,18,19,18,19,110
GHESHESFA,d,20080610,000000,18,18,18,18,50010
GHESHESFA,d,20080611,000000,18,18,18,18,20010
GHESHESFA,d,20080615,000000,18,18,18,18,1010
GHESHESFA,d,20080617,000000,18,18,18,18,4910
GHESHESFA,d,20080621,000000,18,18,18,18,2157
GHESHESFA,d,20080629,000000,19,19,18,18,20010
GHESHESFA,d,20080705,000000,19,19,18,18,20
GHESHESFA,d,20080709,000000,19,19,18,18,2726
GHESHESFA,d,20080720,000000,19,19,18,18,20
GHESHESFA,d,20080723,000000,19,19,18,18,30
GHESHESFA,d,20080804,000000,19,19,19,19,74000
GHESHESFA,d,20080809,000000,19,19,19,19,5010
GHESHESFA,d,20080820,000000,19,19,19,19,100
GHESHESFA,d,20080823,000000,20,20,20,20,100
GHESHESFA,d,20080824,000000,21,21,21,21,200
GHESHESFA,d,20080825,000000,21,21,21,21,100
GHESHESFA,d,20080826,000000,22,22,22,22,11000
GHESHESFA,d,20080830,000000,22,22,22,22,100
GHESHESFA,d,20080901,000000,23,23,23,23,10010
GHESHESFA,d,20080908,000000,23,23,23,23,19710
GHESHESFA,d,20080910,000000,23,23,23,23,1112
GHESHESFA,d,20080917,000000,23,23,22,22,117801
GHESHESFA,d,20080921,000000,22,23,22,22,13469
GHESHESFA,d,20080923,000000,23,23,22,22,10010
GHESHESFA,d,20081007,000000,22,22,22,22,390
