<Ticker>,<Per>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
GHEBAHAR,d,20200420,000000,21747,22239,21322,21848,1642196
GHEBAHAR,d,20200421,000000,21766,22192,21397,22192,2005451
GHEBAHAR,d,20200422,000000,22325,22404,21766,22404,1098565
GHEBAHAR,d,20200425,000000,22972,22972,22972,22972,927967
GHEBAHAR,d,20200426,000000,23661,23661,22283,22292,2448558
GHEBAHAR,d,20200427,000000,22438,23446,22437,22437,1828139
GHEBAHAR,d,20200428,000000,22564,22564,21888,21888,767116
GHEBAHAR,d,20200429,000000,21303,22556,21303,22320,3591295
GHEBAHAR,d,20200502,000000,22489,22489,22489,22489,1131751
GHEBAHAR,d,20200503,000000,23163,23163,23163,23163,1396200
GHEBAHAR,d,20200504,000000,23848,23848,22468,22568,2806241
GHEBAHAR,d,20200505,000000,22713,23422,22244,22244,1922516
GHEBAHAR,d,20200506,000000,21875,22244,21875,21875,1173589
GHEBAHAR,d,20200509,000000,22504,22555,21956,22555,1660992
GHEBAHAR,d,20200510,000000,23157,23157,21839,21956,1445475
GHEBAHAR,d,20200511,000000,21956,22362,21692,21701,1423770
GHEBAHAR,d,20200512,000000,22145,22145,21072,21360,2031346
GHEBAHAR,d,20200513,000000,20820,21939,20820,21556,1172480
GHEBAHAR,d,20200516,000000,22309,22309,21014,22309,1716598
GHEBAHAR,d,20200517,000000,22666,22666,22666,22666,2487216
GHEBAHAR,d,20200518,000000,23346,23346,23346,23346,944864
GHEBAHAR,d,20200519,000000,24513,24513,24513,24513,4082796
GHEBAHAR,d,20200520,000000,25248,25248,25238,25248,6594464
GHEBAHAR,d,20200523,000000,26005,26005,24491,24494,5229812
GHEBAHAR,d,20200526,000000,24856,24856,24856,24856,498839
GHEBAHAR,d,20200527,000000,24360,24360,24360,24360,1158255
GHEBAHAR,d,20200530,000000,23753,25091,23753,25091,1856357
GHEBAHAR,d,20200531,000000,25579,25579,24090,24090,2142874
GHEBAHAR,d,20200601,000000,23817,24794,23817,23817,2045906
GHEBAHAR,d,20200602,000000,23659,24227,23208,23434,2024887
GHEBAHAR,d,20200606,000000,24171,24308,23134,24308,2426796
GHEBAHAR,d,20200607,000000,24626,24829,23438,23848,2510884
GHEBAHAR,d,20200608,000000,23706,24862,23414,24416,3273063
GHEBAHAR,d,20200609,000000,25031,25161,24984,25159,2095233
GHEBAHAR,d,20200610,000000,25834,25834,24499,24989,1562049
GHEBAHAR,d,20200613,000000,25429,25429,24391,24746,2032137
GHEBAHAR,d,20200614,000000,25026,25026,24067,24492,2461304
GHEBAHAR,d,20200615,000000,24541,24843,24132,24585,2187487
GHEBAHAR,d,20200616,000000,25427,25427,24605,24983,1850729
GHEBAHAR,d,20200620,000000,25552,25795,24605,25795,2388094
GHEBAHAR,d,20200621,000000,26181,26181,25836,26181,3727480
GHEBAHAR,d,20200622,000000,26593,26877,25552,26025,2182320
GHEBAHAR,d,20200623,000000,26403,26403,25454,25454,3618561
GHEBAHAR,d,20200624,000000,24821,25618,24821,24889,1393275
GHEBAHAR,d,20200627,000000,24653,25582,24322,25177,1584322
GHEBAHAR,d,20200628,000000,25679,25679,24599,24599,1578310
GHEBAHAR,d,20200629,000000,24039,25040,24039,24965,2015004
GHEBAHAR,d,20200630,000000,24293,25090,24293,25088,2365082
GHEBAHAR,d,20200701,000000,25552,25646,24416,24511,1394350
GHEBAHAR,d,20200704,000000,25542,25542,24234,24234,1721470
GHEBAHAR,d,20200705,000000,24304,25031,23576,24435,1807891
GHEBAHAR,d,20200706,000000,24898,24898,24416,24501,1843018
GHEBAHAR,d,20200707,000000,24984,24984,23930,24131,1627734
GHEBAHAR,d,20200708,000000,23659,24605,23421,23754,2009624
GHEBAHAR,d,20200715,000000,25106,25859,25106,25859,205744
GHEBAHAR,d,20200718,000000,24917,24917,24430,24917,1119396
GHEBAHAR,d,20200719,000000,25652,25652,24510,25106,2366487
GHEBAHAR,d,20200720,000000,25106,26207,24721,25434,2784316
GHEBAHAR,d,20200721,000000,25818,26646,25095,26646,3514318
GHEBAHAR,d,20200722,000000,27115,27189,25743,27189,2248602
GHEBAHAR,d,20200725,000000,27930,27930,27520,27930,816602
GHEBAHAR,d,20200726,000000,28766,28766,28244,28766,2993478
GHEBAHAR,d,20200727,000000,29627,29627,29627,29627,1036056
GHEBAHAR,d,20200728,000000,31108,31108,31108,31108,1412989
GHEBAHAR,d,20200729,000000,32041,32041,32041,32041,1353301
GHEBAHAR,d,20200801,000000,33002,33002,33002,33002,750248
GHEBAHAR,d,20200802,000000,33992,33992,33992,33992,604245
GHEBAHAR,d,20200803,000000,35691,35691,35011,35691,2403146
GHEBAHAR,d,20200804,000000,36747,36747,34608,34617,4799316
GHEBAHAR,d,20200805,000000,34170,36283,34170,36283,2920117
GHEBAHAR,d,20200809,000000,36974,36974,36747,36974,2052739
GHEBAHAR,d,20200810,000000,38081,38081,37466,38081,1554019
GHEBAHAR,d,20200811,000000,39880,39899,36101,39899,4055874
GHEBAHAR,d,20200812,000000,39839,39839,39590,39839,1823139
GHEBAHAR,d,20200815,000000,41034,41034,40947,41034,2759961
GHEBAHAR,d,20200816,000000,42263,42263,42263,42263,1453399
GHEBAHAR,d,20200817,000000,44376,44376,43531,44376,4460913
GHEBAHAR,d,20200818,000000,45649,45649,45649,45649,2276795
GHEBAHAR,d,20200819,000000,47018,47018,47018,47018,2205162
GHEBAHAR,d,20200822,000000,48428,48428,45608,45608,2445295
GHEBAHAR,d,20200823,000000,45877,45877,45877,45877,349067
GHEBAHAR,d,20200824,000000,44709,44709,44709,44709,269458
GHEBAHAR,d,20200825,000000,42926,42926,42926,42926,334528
GHEBAHAR,d,20200826,000000,42045,42045,42045,42045,395535
GHEBAHAR,d,20200831,000000,40831,40831,40831,40831,101739
GHEBAHAR,d,20200901,000000,40559,40559,40559,40559,18964
GHEBAHAR,d,20200902,000000,39673,39673,39673,39673,14412
GHEBAHAR,d,20200905,000000,40445,40445,40445,40445,29597
GHEBAHAR,d,20200906,000000,40368,40368,40368,40368,59061
GHEBAHAR,d,20200907,000000,40213,40213,40213,40213,46909
GHEBAHAR,d,20200908,000000,39264,39264,39264,39264,2426
GHEBAHAR,d,20200909,000000,40081,40081,40081,40081,6486
GHEBAHAR,d,20200912,000000,40063,40063,40063,40063,672944
GHEBAHAR,d,20200913,000000,38862,38862,38862,38862,3224
GHEBAHAR,d,20200914,000000,38052,38052,38052,38052,13480
GHEBAHAR,d,20200915,000000,38798,38798,38798,38798,5103
GHEBAHAR,d,20200916,000000,38784,38784,38784,38784,623854
GHEBAHAR,d,20200919,000000,37621,37621,37621,37621,8050
GHEBAHAR,d,20200920,000000,36828,36828,36828,36828,350
GHEBAHAR,d,20200921,000000,37602,37602,37602,37602,199
GHEBAHAR,d,20200922,000000,37602,37602,37602,37602,36582
GHEBAHAR,d,20200923,000000,37520,37520,37520,37520,866774
GHEBAHAR,d,20200926,000000,35645,37520,35645,35645,111262
GHEBAHAR,d,20200928,000000,36001,36001,36001,36001,3703
GHEBAHAR,d,20200929,000000,35994,35994,35994,35994,985
GHEBAHAR,d,20200930,000000,35250,35994,35250,35250,1962
GHEBAHAR,d,20201003,000000,35986,35986,35986,35986,3153
GHEBAHAR,d,20201004,000000,35979,35979,35979,35979,116473
GHEBAHAR,d,20201005,000000,35737,35737,35737,35737,2743
GHEBAHAR,d,20201007,000000,34995,34995,34995,34995,130609
GHEBAHAR,d,20201010,000000,35284,35284,35284,35284,4892
GHEBAHAR,d,20201011,000000,35275,35275,35275,35275,6769
GHEBAHAR,d,20201012,000000,35261,35261,35261,35261,2500
GHEBAHAR,d,20201013,000000,34529,34529,34529,34529,6609
GHEBAHAR,d,20201014,000000,35235,35235,35235,35235,964
GHEBAHAR,d,20201018,000000,35233,35233,35233,35233,5010
GHEBAHAR,d,20201019,000000,35223,35223,35223,35223,1396
GHEBAHAR,d,20201020,000000,34494,34494,34494,34494,1848
